codigoentidad,codigoconvocatoria,n_id_item,ruc_entidad,entidad,sector,entidad_departamento,entidad_distrito,entidad_provincia,fecha_convocatoria,modalidad,sistemacontratacion,tipoprocesoseleccion,proceso,descripcion_proceso,tipo_compra,moneda,monto_referencial_item,monto_referencial,n_item,descripcion_item,unidad_medida,cantidad,estadoitem,paquete,codigo_grupo,grupo,codigo_familia,familia,codigoclase,clase,codigocommodity,commodity,codigoitem,itemcubso,ultimo,codigoprocesoinicial,ueclasificacion,ubigeo,dominio,strata,tratamiento,medicamentos,insumos,suministros,año,fecha_convocatoria2,mes,tiempo,montoadj,fecha_consentimiento_bp,estadofin,codigosiaf,exito,categoria,version_cronograma,etapainicio,etapafin,fecha_inicial,fecha_final,tiempo_adj,fecha_consentimientobp,tiempo_consent,exito_consent,año_req,mes_req,dia_req,filtro_fechas,tipo_filtro,mes_req2,dia_req2,año_req2,fecha_req,inicio_estudiomdo,fin_estudiomdo,fecha_req2,tiempo_req_convoc,tiempo_req_convoc2,tiempo_estudiomdo,num21,antiguedad1,antiguedad2,postores,numlogis,ordimodal,ordireg,ordiclasif,lima,ratioar,precio,ln_precio,mes_convoc,mes_consent,mes_inicio,mes_fin,mes_adj,semana_req
010520,685395,2066682,20163833094,GOBIERNO REGIONAL DE LAMBAYEQUE-SALUD,GOBIERNO REGIONAL,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/01/21,Procedimiento,Suma alzada,Contratación Directa,DIRECTA-PROC-81-2020-GR.LAM-GERESA-L-1,ADQUISICION DE MASCARILLA DESCARTABLE TIPO KN-95,Por la Entidad,Soles,94400,94400,1,ADQUISICION DE MASCARILLA DESCARTABLE TIPO KN-95,Unidad,5000,Adjudicado,NO,42,"Equipos, accesorios y suministros médicos",13,Textiles e Indumentaria médica,17,Textiles quirúrgicos,13,Aislamiento quirúrgico o mascarillas quirúrgicas,00347552,MASCARILLA DESCARTABLE TIPO N-95,ULTIMO,632040,GR - red,140101,costa no,3,0,,1,1,2021,22294,01,2021_01,94400,16/01/21,1,860,1,insumos,1,Invitación,Adjudicación,22294,22295,1,22296,2,1,2020,5,13,,,5,13,2020,22048,22048,22048,22048,246,246,0,7,1.6363636,3,1,11,5,14,GR - red,0,1,18.879999,2.9381032,1,1,5,5,1,20
010520,686202,2069686,20163833094,GOBIERNO REGIONAL DE LAMBAYEQUE-SALUD,GOBIERNO REGIONAL,LAMBAYEQUE,CHICLAYO,CHICLAYO,15/01/21,Procedimiento,Suma alzada,Contratación Directa,DIRECTA-PROC-85-2020-GR.LAM-GERESA-L-1,"ADQUISICION DE CITOMETRO DE FLUJO EN EL LABORATORIO DE REFERENCIA REGIONAL EN SALUD PUBLICA DE LA GERENCIA REGIONAL DE SALUD LAMBAYEQUE, DISTRITO CHICLAYO, PROVINCIA CHICLAYO, DEPARTAMENTO LAMBAYEQUE - CUI N° 2502740",Por la Entidad,Soles,156232,156232,1,"ADQUISICION DE CITOMETRO DE FLUJO EN EL LABORATORIO DE REFERENCIA REGIONAL EN SALUD PUBLICA DE LA GERENCIA REGIONAL DE SALUD LAMBAYEQUE, DISTRITO CHICLAYO, PROVINCIA CHICLAYO, DEPARTAMENTO LAMBAYEQUE - CUI N° 2502740",Unidad,1,Adjudicado,NO,41,"Equipo de laboratorio, medición, observación y comprobación",11,"Instrumentos de experimentación, medición y observación",61,"kits de ensayos, controles de calidad, calibradores y normativas",48,Kits o suministros para pruebas de citometría de flujo,00310272,PERLAS CALIBRADORAS DE CITOMETRO DE FLUJO 7 COLORES X 50 DETERMINADIONES,ULTIMO,632794,GR - red,140101,costa no,3,0,,1,1,2021,22295,01,2021_01,156232,19/01/21,1,860,1,insumos,1,Invitación,Adjudicación,22295,22298,3,22299,4,1,,,,,,,,,,,,,,,,7,1.6363636,3,1,11,5,14,GR - red,0,1,156232,11.959097,1,1,,,1,
010560,687320,2073267,20356828055,GOBIERNO REGIONAL DE PIURA-HOSPITAL DE APOYO III SULLANA,GOBIERNO REGIONAL,PIURA,SULLANA,SULLANA,06/01/21,Procedimiento,Suma alzada,Contratación Directa,DIRECTA-PROC-34-2020-HAS-OEC.-1,Adquisición de Cartucho para analizador de Gases Arteriales (AGA) para el Área de UCI-COVID.,Por la Entidad,Soles,39750,39750,1,Adquisición de Cartucho para analizador de Gases Arteriales (AGA) para el Área de UCI-COVID.,Unidad,1500,Adjudicado,NO,41,"Equipo de laboratorio, medición, observación y comprobación",11,"Instrumentos de experimentación, medición y observación",58,Accesorios y suministros clínicos y analizadores de diagnóstico,06,Accesorios o suministros de analizadores de gases sanguíneos,00239954,CASSETTE DE MICROELECTRODOS PANEL COMPLETO PARA DETERMINACION DE GASES ARTERIALES,ULTIMO,633859,hospital,200601,costa no,4,1,,1,1,2021,22286,01,2021_01,39750,08/01/21,1,901,1,insumos,1,Invitación,Adjudicación,22272,22277,5,22288,16,1,2020,8,19,,,8,19,2020,22146,22208,22208,22146,126,126,0,3,2.5,7,1,4,5,20,hospital,0,1,26.5,3.2771447,12,1,10,10,12,34
010560,687321,2073268,20356828055,GOBIERNO REGIONAL DE PIURA-HOSPITAL DE APOYO III SULLANA,GOBIERNO REGIONAL,PIURA,SULLANA,SULLANA,06/01/21,Procedimiento,Suma alzada,Contratación Directa,DIRECTA-PROC-35-2020-HAS-OEC.-1,Adquisicion de ventiladores mecanicos (adulto - Pediatrioc) para el departamento de Emergencia y UCI del Hospital de Apoyo II-2 de Sullana,Por la Entidad,Soles,280000,280000,1,ventiladores mecanicos (adulto - Pediatrioc),Unidad,2,Adjudicado,NO,42,"Equipos, accesorios y suministros médicos",27,Productos respiratorios y de reanimación y anestesia,22,Ventiladores y accesorios mecánicos de presión positiva,05,Ventiladores de cuidado intensivo pediátrico o de adultos,00185569,VENTILADOR MECANICO CONVENCIONAL REGULABLE A ADULTO Y PEDIATRICO,ULTIMO,633860,hospital,200601,costa no,4,1,,1,1,2021,22286,01,2021_01,280000,08/01/21,1,901,1,insumos,1,Invitación,Adjudicación,22279,22285,6,22288,9,1,2020,8,12,,,8,12,2020,22139,22174,22182,22139,140,140,8,3,2.5,7,1,4,5,20,hospital,0,1,140000,11.849398,12,1,9,9,1,33
010424,687491,2073525,20167251294,GOBIERNO REGIONAL DE AREQUIPA-HOSPITAL REGIONAL HONORIO DELGADO,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,AREQUIPA,11/01/21,Procedimiento,Suma alzada,Contratación Directa,DIRECTA-PROC-45-2020-HRHD-1,ADQUISICION DE SET PARA PRUEBA DE LECTURA RAPIDAPARA ESTERILIZACION A VAPOR (INDICADOR Y 1 INTEGRADOR),Por la Entidad,Soles,59976,59976,1,SET PARA PRUEBA DE LECTURA RAPIDA PARA ESTERILIZACION A VAPOR (1 INDICADOR Y 1 INTEGRADOR),Unidad,1428,Contratado,NO,42,"Equipos, accesorios y suministros médicos",28,Productos para esterilización médica,18,Indicadores y controles de esterilización,06,Tiras indicadores de esterilización,00182487,INDICADOR BIOLOGICO DE ESTERILIZACION A VAPOR LECTURA RAPIDA,ULTIMO,633953,hospital,040101,sierra s,18,0,,1,1,2021,22291,01,2021_01,59976,13/01/21,1,767,1,insumos,1,Invitación,Adjudicación,22291,22292,1,22293,2,1,2020,10,8,,,10,8,2020,22196,22211,22216,22196,95,95,5,0,5.818182,8,1,11,5,4,hospital,0,1,42,3.7376697,1,1,10,10,1,41
202625,687519,2073615,20601021006,GOBIERNO REGIONAL HUANCAVELICA RED DE SALUD ANGARAES,GOBIERNO REGIONAL,HUANCAVELICA,LIRCAY,ANGARAES,11/01/21,Procedimiento,Suma alzada,Contratación Directa,DIRECTA-PROC-1-2020-RSA-CS-1,ADQUISICION DE MANDILONES DESCARTABLES TALLA M-L,Por la Entidad,Soles,61700,61700,1,ADQUISICION DE MANDILONES DESCARTABLES TALLA M-L,Unidad,6170,Adjudicado,NO,42,"Equipos, accesorios y suministros médicos",13,Textiles e Indumentaria médica,16,Ropa y artículos relacionados para personal médico,12,Batas de aislamiento o cobertura para el personal médico,00358342,MANDILON DE TELA NO TEJIDA MANGA LARGA TALLA L DESCARTABLE,ULTIMO,633991,GR - red,090301,sierra c,13,0,,1,1,2021,22291,01,2021_01,61700,12/01/21,1,1647,1,insumos,1,Invitación,Adjudicación,22263,22263,0,22292,29,1,2020,10,27,,,10,27,2020,22215,22247,22248,22215,48,48,1,0,6,6,1,1,5,9,GR - red,0,1,10,2.3025851,12,1,11,11,12,43
010485,687563,2073666,20188446133,GOBIERNO REGIONAL DE JUNIN-SALUD AIS. UTES. CHANCHAMAYO,GOBIERNO REGIONAL,JUNIN,CHANCHAMAYO,CHANCHAMAYO,21/01/21,Procedimiento,Precios unitarios,Contratación Directa,DIRECTA-PROC-14-2020-OEC/RSCH-1,"ADQUISICION DE OXIGENO MEDICINAL PARA EL HOSPITAL ""JULIO CESAR DEMARINI CARO""",Por la Entidad,Soles,82380.39999999999,82380.39999999999,1,OXIGENO MEDICINAL GAS 99.5%,M3,8262,Contratado,NO,42,"Equipos, accesorios y suministros médicos",27,Productos respiratorios y de reanimación y anestesia,17,Sistemas y dispositivos de entrega para terapia de oxígeno,01,Cilindros de gas médicos o dispositivos relacionados,00323264,OXIGENO GAS MEDICINAL X 1 m3,ULTIMO,634067,,,,,,,1,1,2021,22301,01,2021_01,82380.39999999999,03/02/21,1,828,1,insumos,1,Invitación,Adjudicación,22301,22302,1,22314,13,1,,,,,,,,,,,,,,,,0,2,2,1,1,5,12,,0,1,9.9709997,2.2996809,1,2,,,1,
010424,687581,2073689,20167251294,GOBIERNO REGIONAL DE AREQUIPA-HOSPITAL REGIONAL HONORIO DELGADO,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,AREQUIPA,15/01/21,Procedimiento,Suma alzada,Contratación Directa,DIRECTA-PROC-37-2021-HRHD-1,ADQUISICION DE DESINFECTANTE PEROXIDO DE HIDROGENO 6.1% CON IONES DE PLATA X 1 L.,Por la Entidad,Soles,45784,45784,1,DESINFECTANTE PEROXIDO DE HIDRONENO 6.1% CON IONES DE PLATA X 1 L,Unidad,97,Contratado,NO,12,"Productos químicos, bio-químicos y gases industriales",35,Compuestos y mezclas,23,Compuestos inorgánicos,04,Peróxidos inorgánicos,00317284,DESINFECTANTE PEROXIDO DE HIDROGENO 6% CON IONES DE PLATA,ULTIMO,634142,hospital,040101,sierra s,18,0,,1,1,2021,22295,01,2021_01,45784,20/01/21,1,767,1,insumos,1,Invitación,Adjudicación,22295,22298,3,22300,5,1,2020,10,19,,,10,19,2020,22207,22211,22215,22207,88,88,4,0,5.818182,8,1,11,5,4,hospital,0,1,472,6.1569791,1,1,10,10,1,42
010560,687710,2073971,20356828055,GOBIERNO REGIONAL DE PIURA-HOSPITAL DE APOYO III SULLANA,GOBIERNO REGIONAL,PIURA,SULLANA,SULLANA,22/01/21,Procedimiento,Suma alzada,Contratación Directa,DIRECTA-PROC-40-2020-HAS-OEC.-1,Adquisición de productos farmaceuticos (Midazolan de 50MG/10ML) para la atencion de pacientes infectados por COVID,Por la Entidad,Soles,0,0,1,Midazolam de 50MG/10Ml,Unidad,9000,Convocado,NO,51,Medicamentos y productos farmacéuticos,14,Medicamentos para el sistema nervioso central,15,Anticonvulsivante,42,Midazolam,00062020,MIDAZOLAM 50 mg INY 10 mL,ULTIMO,634319,hospital,200601,costa no,4,1,1,,1,2021,22302,01,2021_01,,,,901,0,medicamentos,1,Invitación,Adjudicación,22293,22302,,,,0,2020,10,1,,,10,1,2020,22189,22250,22253,22189,104,104,3,3,2.5,7,1,4,5,20,hospital,0,,,,1,,12,12,1,40
010520,687922,2074370,20163833094,GOBIERNO REGIONAL DE LAMBAYEQUE-SALUD,GOBIERNO REGIONAL,LAMBAYEQUE,CHICLAYO,CHICLAYO,19/01/21,Procedimiento,Suma alzada,Contratación Directa,DIRECTA-PROC-82-2020-GR.LAM/GERESA-L-1,ADQUICION DE ACCESPRIOS MEDICOS E INSUMOS PARA LAS IPRESS Y LA DIRECCION EJECUTIVA DE SALUD AMBIENTAL,Por la Entidad,Soles,124567.8,124567.8,1,ADQUICION DE ACCESPRIOS MEDICOS E INSUMOS PARA LAS IPRESS Y LA DIRECCION EJECUTIVA DE SALUD AMBIENTAL,Unidad,2252,Contratado,NO,41,"Equipo de laboratorio, medición, observación y comprobación",10,Equipo científico y de laboratorio,41,Contenedores y suministros para recolección y transporte de especímenes,14,Envases para recolección,00183006,FRASCO DE VIDRIO BOROSILICATO TRANSPARENTE CON TAPA ROSCA X 500 mL PARA USO DE LABORATORIO,ULTIMO,634706,GR - red,140101,costa no,3,0,,1,1,2021,22299,01,2021_01,124567.8,22/01/21,1,860,1,insumos,1,Invitación,Adjudicación,22299,22300,1,22302,3,1,2020,6,16,,,6,16,2020,22082,22104,22125,22082,217,217,21,7,1.6363636,3,1,11,5,14,GR - red,0,1,55.314297,4.0130315,1,1,7,7,1,24
